domain,nameserver,record_count,tested_at
1box.link,ns2.crm-onebox.com,352,2026-03-24 22:27:31
1box.link,ns1.crm-onebox.com,352,2026-03-24 22:27:31
0conf.org,ns1.bolo.net,321,2026-03-24 22:27:59
063.info,ns2.interpara.net,264,2026-03-24 22:33:31
21shops.org,dns2.services-infra.ch,186,2026-03-24 22:29:00
21shops.org,dns1.arcanite-infra.ch,186,2026-03-24 22:29:00
21shops.org,dns1.services-infra.ch,186,2026-03-24 22:29:00
0.cymru,ns3.zenesa.de,176,2026-03-24 22:33:38
0.cymru,ns2.zenesa.de,176,2026-03-24 22:33:38
01g.info,dns-primary.iphoster.net,153,2026-03-24 22:26:58
01g.info,dns-secondary.iphoster.net,153,2026-03-24 22:26:58
2o2.company,ns2.specchio.info,133,2026-03-24 22:31:45
2o2.company,ns3.specchio.info,133,2026-03-24 22:31:46
2o2.company,ns4.specchio.info,133,2026-03-24 22:31:46
13os.org,ns1.13os.org,76,2026-03-24 22:28:23
13os.org,ns2.13os.org,76,2026-03-24 22:28:23
13os.org,ns3.13os.org,76,2026-03-24 22:28:24
21valve21.pro,ns2.webusa1.extravm.com,64,2026-03-24 22:32:23
2yxa.mobi,ns2.dialwap.com,62,2026-03-24 22:36:03
2yxa.mobi,ns1.dialwap.com,62,2026-03-24 22:36:03
007.taxi,ns2.justhost.ru,57,2026-03-24 22:28:57
007.taxi,ns1.justhost.ru,57,2026-03-24 22:28:57
22ki.site,ns3.22ki.site,56,2026-03-24 22:32:15
22ki.site,ns2.22ki.site,56,2026-03-24 22:32:15
0n3.org,a.ns.0n3.org,54,2026-03-24 22:36:05
0n3.org,b.ns.0n3.org,54,2026-03-24 22:36:05
1atatime.org,ns.securednshost.com,50,2026-03-24 22:35:32
24h.fan,ns1.hostingorilla.com,48,2026-03-24 22:29:04
2266123.xyz,ddns1.2266123.xyz,44,2026-03-24 22:31:42
12go.travel,chloe.intakt.com,43,2026-03-24 22:35:12
14197.berlin,ns3.e-gitt.net,42,2026-03-24 22:26:32
1m1a.org,ns8.timway.com.hk,38,2026-03-24 22:25:46
1m1a.org,ns6.timway.com,38,2026-03-24 22:25:44
19min.coffee,ns3.site.be,36,2026-03-24 22:26:30
19min.coffee,ns1.site.eu,36,2026-03-24 22:26:30
19min.coffee,ns2.site.nl,36,2026-03-24 22:26:31
19min.coffee,ns4.site.de,36,2026-03-24 22:26:31
24bg.info,ns3.gotobg.net,34,2026-03-24 22:28:41
24bg.info,ns4.gotobg.net,34,2026-03-24 22:28:41
15m.chat,ns2.dnsmisitio.net,33,2026-03-24 22:33:03
15m.chat,ns1.dnsmisitio.net,33,2026-03-24 22:33:03
1e.digital,ns2.orcwebhosting.ch,31,2026-03-24 22:28:45
2days.app,ns2.arabsgate.com,30,2026-03-24 22:34:28
2days.app,ns1.arabsgate.com,30,2026-03-24 22:34:28
1000missionchurches.org,ns1.certaspace.top,28,2026-03-24 22:30:08
1000missionchurches.org,ns2.certaspace.top,28,2026-03-24 22:30:08
2chicks.org,info.thorofare.biz,27,2026-03-24 22:25:57
1444.online,qui5eegh.1444.online,26,2026-03-24 22:34:13
2pix.agency,nsu1.serveroid.com,24,2026-03-24 22:27:44
2pix.agency,nsu2.serveroid.com,24,2026-03-24 22:27:44
30hd.org,lautrec.oelzant.at,24,2026-03-24 22:28:09
30hd.org,managua.oelzant.at,24,2026-03-24 22:28:09
2pix.agency,nsu0.serveroid.com,24,2026-03-24 22:27:44
180.watch,ns01.infra-hosting.org,24,2026-03-24 22:36:13
180.watch,ns02.infra-hosting.org,24,2026-03-24 22:36:13
1xbet-rusa.buzz,ns1.1xbet-rusa.buzz,23,2026-03-24 22:24:55
1xbet-rus.buzz,ns1.1xbet-rus.buzz,23,2026-03-24 22:33:56
2021.studio,ns2.w01.ch,23,2026-03-24 22:27:48
2021.studio,ns3.w01.ch,23,2026-03-24 22:27:48
1xbet-lk23.buzz,ns2.1xbet-lk23.buzz,23,2026-03-24 22:31:46
1xbet-ui1oqq.buzz,ns1.1xbet-ui1oqq.buzz,23,2026-03-24 22:26:27
1xbet-ui1oqq.buzz,ns2.1xbet-ui1oqq.buzz,23,2026-03-24 22:26:27
1xbet-tjjj.buzz,ns2.1xbet-tjjj.buzz,23,2026-03-24 22:35:05
1xbet-zerkalo4.buzz,ns1.1xbet-zerkalo4.buzz,23,2026-03-24 22:26:12
1xbet-tjjj.buzz,ns1.1xbet-tjjj.buzz,23,2026-03-24 22:35:05
1xbet-tllew.buzz,ns1.1xbet-tllew.buzz,23,2026-03-24 22:35:59
1xbet-tllew.buzz,ns2.1xbet-tllew.buzz,23,2026-03-24 22:35:59
1xbet-vmkk.buzz,ns2.1xbet-vmkk.buzz,23,2026-03-24 22:36:00
1xbet-lk23.buzz,ns1.1xbet-lk23.buzz,23,2026-03-24 22:31:47
1xbet-vmkk.buzz,ns1.1xbet-vmkk.buzz,23,2026-03-24 22:36:01
1xbet-zerkalo4.buzz,ns2.1xbet-zerkalo4.buzz,23,2026-03-24 22:26:12
1xbet-rusa.buzz,ns2.1xbet-rusa.buzz,23,2026-03-24 22:24:55
1xbet-wrec.buzz,ns2.1xbet-wrec.buzz,23,2026-03-24 22:34:38
1xbet-wrec.buzz,ns1.1xbet-wrec.buzz,23,2026-03-24 22:34:38
1xbet-comc.buzz,ns1.1xbet-comc.buzz,23,2026-03-24 22:33:44
1wincasino-vhod.gives,ns2.1wincasino-vhod.gives,23,2026-03-24 22:35:59
1xbethww2.buzz,ns2.1xbethww2.buzz,23,2026-03-24 22:35:20
1xbethww2.buzz,ns1.1xbethww2.buzz,23,2026-03-24 22:35:20
1xbet-comc.buzz,ns2.1xbet-comc.buzz,23,2026-03-24 22:33:44
1xbet-coma.buzz,ns2.1xbet-coma.buzz,23,2026-03-24 22:26:02
1xbet-coma.buzz,ns1.1xbet-coma.buzz,23,2026-03-24 22:26:02
1win-kasino.buzz,ns1.1win-kasino.buzz,23,2026-03-24 22:30:35
1win-kasino.buzz,ns2.1win-kasino.buzz,23,2026-03-24 22:30:35
1xbet-irec.buzz,ns2.1xbet-irec.buzz,23,2026-03-24 22:35:20
1xbet1x.xyz,ns1.1xbet1x.xyz,23,2026-03-24 22:35:45
1xbet-irec.buzz,ns1.1xbet-irec.buzz,23,2026-03-24 22:35:21
2engage.org,tulip.osmium.ca,23,2026-03-24 22:34:13
1xbet1x.xyz,ns2.1xbet1x.xyz,23,2026-03-24 22:35:45
1xbet-live.buzz,ns1.1xbet-live.buzz,23,2026-03-24 22:34:16
1xbet-live.buzz,ns2.1xbet-live.buzz,23,2026-03-24 22:34:16
1xbet-comx.buzz,ns1.1xbet-comx.buzz,23,2026-03-24 22:32:30
1xbet-comx.buzz,ns2.1xbet-comx.buzz,23,2026-03-24 22:32:30
1xbet-rus.buzz,ns2.1xbet-rus.buzz,23,2026-03-24 22:33:56
