tld,domains_with_dnssec,total_domains,coverage_pct
org,595806,11724492,5.08
xyz,115054,8137739,1.41
info,259929,5202927,5.0
online,112208,3272654,3.43
store,48586,2072264,2.34
site,37317,1725950,2.16
sbs,32781,1376201,2.38
bond,5857,1138803,0.51
pro,45406,1055773,4.3
app,64370,802798,8.02
click,18357,709707,2.59
dev,100415,618939,16.22
live,15396,550785,2.8
asia,13632,539651,2.53
space,16126,518846,3.11
cfd,20668,499304,4.14
tech,29001,490839,5.91
cloud,34716,476618,7.28
icu,6100,476371,1.28
cyou,10191,435137,2.34
mobi,23198,401967,5.77
life,9641,392473,2.46
world,12519,391709,3.2
lol,22882,390775,5.86
fun,12930,380491,3.4
blog,14809,370673,4.0
digital,10823,297632,3.64
art,22249,286239,7.77
link,34576,280774,12.31
autos,4894,244434,2.0
website,8813,221159,3.98
studio,14832,170415,8.7
help,1941,160608,1.21
buzz,6414,160570,3.99
skin,1862,160177,1.16
today,3035,134354,2.26
lat,6714,130174,5.16
run,2923,129011,2.27
email,9784,121256,8.07
agency,7449,121179,6.15
group,7609,119712,6.36
bet,1878,119275,1.57
makeup,13449,119217,11.28
cat,12099,114751,10.54
ltd,3603,111746,3.22
win,6103,109248,5.59
solutions,5107,102257,4.99
services,4680,88011,5.32
media,5424,86736,6.25
yachts,1251,86628,1.44
pics,3286,85101,3.86
ovh,32085,84610,37.92
homes,4670,79430,5.88
company,6827,78820,8.66
rest,1532,78064,1.96
beauty,1987,74749,2.66
network,6774,73856,9.17
news,3078,72011,4.27
casino,7596,67266,11.29
fyi,4143,67158,6.17
academy,4548,66572,6.83
global,2673,66260,4.03
love,2667,66184,4.03
qpon,228,65673,0.35
loan,412,65575,0.63
forum,9959,63099,15.78
games,4750,62637,7.58
rocks,3436,62524,5.5
xin,55,62234,0.09
boats,1579,57674,2.74
zone,2081,56960,3.65
team,3318,56923,5.83
guru,2049,54813,3.74
mom,3743,54103,6.92
bio,2868,54098,5.3
chat,2739,52147,5.25
hair,3223,50996,6.32
quest,2448,48858,5.01
llc,7705,48595,15.86
baby,2515,47701,5.27
social,3278,46048,7.12
care,3520,45157,7.8
center,1612,44131,3.65
berlin,548,42780,1.28
cam,6369,42367,15.03
wang,150,41080,0.37
systems,3398,41020,8.28
earth,2656,40154,6.61
support,2957,39792,7.43
consulting,4220,39293,10.74
bar,1234,38136,3.24
bid,360,37884,0.95
wtf,3501,37358,9.37
